,numVotes
756,63
757,15
758,536
759,92
760,110
761,815
762,1685
763,159181
764,40804
765,17
766,113
767,762
768,36
769,1562
770,59
771,8900
772,239
773,19
774,13
775,29
776,663
777,369
778,350
779,344
780,1168
781,11
782,167
783,365
784,120
785,303
786,1598
787,18892
788,201
789,522
790,66
791,16
792,398
793,23
794,49
795,97
796,1033
797,30
798,11068
799,7
800,38857
801,22
802,2256
803,21
804,132
805,324
806,164
807,62
808,292
809,4665
810,1130
811,130
812,48310
813,75
814,5081
815,32853
816,1446
817,9
818,122
819,229
820,1096
821,171
822,49
823,187
824,63
825,12
826,28
827,27
828,1148
829,3549
830,81
831,190
832,25
833,481
834,162
835,540
836,208
837,178
838,50
839,71
840,8330
841,934
842,5
843,8
844,10227
845,99
846,23852
847,81
848,649
849,108
850,15
851,2553
852,285
853,16
854,29896
855,2699
856,26182
857,61
858,35056
859,20
860,12081
861,9932
862,48
863,105
864,185
865,1116
866,140138
867,3215
868,2808
869,32
870,2092
871,229092
872,2760
873,349
874,8
875,62
876,13367
877,267
878,860
879,220
880,48
881,33
882,93
883,20
884,130
885,10
886,4164
887,71
888,245
889,3397
890,13071
891,22204
892,129
893,20
894,47
895,41
896,12
897,701
898,242
899,10078
900,19
901,29
902,13
903,75
904,18
905,17700
906,22150
907,26
908,19
909,27170
910,27
911,14
912,740
913,749
914,137
915,44822
916,25785
917,75268
918,1106
919,1031
920,218
921,19
922,970
923,1573
924,354
925,492
926,29
927,8857
928,2585
929,85
930,48
931,78
932,646
933,38
934,3303
935,2966
936,56
937,34
938,81
939,132
940,132
941,22164
942,240
943,149
944,28
945,725
946,256
947,36
948,727
949,17119
950,580
951,1178
952,127
953,104
954,621
955,67
956,10
957,316
958,411
959,52
960,351
961,498
962,8
963,37
964,13
965,241
966,38
967,5326
968,75
969,326
970,28
971,112
972,204
973,164
974,68
975,528
976,982
977,146
978,42
979,299
980,18993
981,16
982,118
983,99
984,166
985,43
986,178754
987,44956
988,346802
989,18
990,337
991,162
992,944
993,118
994,32483
995,78
996,533
997,52
998,52
999,113
1000,97
1001,394
1002,113
1003,46
1004,30695
1005,862
1006,151
1007,6821
1008,7
1009,16
1010,86
1011,903
1012,21862
1013,154
1014,589
1015,1493
1016,164
1017,23
1018,14
1019,14
1020,380
1021,447
1022,9181
1023,2208
1024,77
1025,9601
1026,88
1027,46198
1028,6
1029,134
1030,485
1031,34
1032,20123
1033,18001
1034,332
1035,4796
1036,43
1037,2172
1038,112
1039,22
1040,214
1041,91208
1042,1293
1043,1205
1044,148132
1045,1044
1046,133
1047,275
1048,28875
1049,24
1050,23524
1051,37
1052,70
1053,61
1054,846
1055,17194
1056,38
1057,58
1058,220
1059,1183
1060,217
1061,264
1062,333
1063,30
1064,42
1065,75
1066,125
1067,42
1068,102
1069,123
1070,2728
1071,81
1072,6
1073,40
1074,767
1075,265
1076,45
1077,10
1078,28
1079,59
1080,3121
1081,11
1082,1276
1083,842
1084,213
1085,2442
1086,98
1087,13520
1088,358
1089,81
1090,174
1091,980
1092,5690
1093,2598
1094,748
1095,842
1096,1458
1097,30
1098,25
1099,2932
1100,2310
1101,64
1102,160
1103,120
1104,2671
1105,432
1106,3890
1107,96
1108,89
1109,21
1110,24
1111,4047
1112,876
1113,145
1114,620
1115,3358
1116,30
1117,29
1118,30
1119,103
1120,2015
1121,865
1122,44
1123,22
1124,30
1125,68
1126,58
1127,219
1128,2335
1129,3918
1130,3886
1131,366
1132,825
1133,434
1134,7
1135,182
1136,154
1137,8374
1138,4285
1139,714
1140,24232
1141,363
1142,123
1143,1123
1144,39
1145,2817
1146,330
1147,32
1148,463
1149,444
1150,1034
1151,13
1152,73
1153,170
1154,319
1155,858
1156,199
1157,142
1158,547
1159,213
1160,41
1161,21
1162,43
1163,91
1164,786
1165,11
1166,812
1167,131
1168,18980
1169,38
1170,85
1171,16
1172,816
1173,3676
1174,1946
1175,102909
1176,211
1177,40
1178,171
1179,758
1180,68
1181,53
1182,174
1183,713
1184,42
1185,1615
1186,72
1187,183
1188,77
1189,5
1190,72
1191,660
1192,320
1193,364
1194,68
1195,2842
1196,374
1197,116
1198,109
1199,197
1200,106
1201,347664
1202,28
1203,69
1204,119
1205,146674
1206,76
1207,107
1208,146
1209,1974
1210,6
1211,271
1212,7887
1213,15183
1214,35
1215,16
1216,942
1217,28
1218,201
1219,17
1220,106
1221,157
1222,1451
1223,39
1224,730
1225,62
1226,204
1227,21
1228,23
1229,66
1230,568
1231,39
1232,453
1233,156
1234,193
1235,4139
1236,22
1237,122
1238,846
1239,7
1240,1274
1241,89
1242,279
1243,84
1244,31
1245,150
1246,695
1247,573
1248,13
1249,519
1250,1273
1251,93
1252,168
1253,5817
1254,6120
1255,17
1256,59
1257,13
1258,9
1259,1756
1260,97
1261,648
1262,57
1263,13019
1264,274
1265,1353
1266,99046
1267,110
1268,46
1269,53747
1270,656
1271,22
1272,709
1273,19
1274,23
1275,51
1276,4097
1277,36
1278,1279
1279,51
1280,244
1281,51
1282,20
1283,2517
1284,244
1285,1833
1286,32
1287,69
1288,59
1289,444
1290,50
1291,44
1292,68
1293,264
1294,43
1295,87
1296,709
1297,1635
1298,35
1299,38374
1300,199
1301,28388
1302,30
1303,9
1304,172
1305,917
1306,4087
1307,220
1308,12
1309,183
1310,31
1311,13
1312,17
1313,52
1314,167
1315,127
1316,7103
1317,88
1318,3228
1319,17
1320,63
1321,79
1322,1136
1323,23
1324,23
1325,3098
1326,432
1327,1836
1328,122
1329,24729
1330,64
1331,184
1332,2287
1333,46
1334,2649
1335,176460
1336,3684
1337,1300
1338,4277
1339,72
1340,372
1341,1417
1342,489
1343,34
1344,61
1345,888
1346,125
1347,136
1348,11
1349,5398
1350,44
1351,11
1352,411
1353,759
1354,18
1355,3049
1356,11
1357,10
1358,23055
1359,3372
1360,14992
1361,300
1362,71
1363,845
1364,695
1365,5255
1366,1575
1367,273
1368,27800
1369,150
1370,8
1371,374
1372,85
1373,34
1374,76
1375,51
1376,672
1377,21
1378,41
1379,60
1380,22
1381,286
1382,4239
1383,69
1384,8
1385,34
1386,50
1387,33
1388,742
1389,314
1390,37
1391,3511
1392,230
1393,3494
1394,400
1395,1930
1396,60
1397,58
1398,16
1399,55
1400,10
1401,18
1402,12
1403,321
1404,86116
1405,107
1406,717
1407,22
1408,187
1409,25
1410,849
1411,16
1412,76
1413,127243
1414,3506
1415,208
1416,472940
1417,274
1418,92
1419,123
1420,62
1421,9138
1422,703
1423,328
1424,314
1425,7
1426,166
1427,2319
1428,102
1429,697
1430,9
1431,379
1432,2068
1433,174
1434,1817
1435,559
1436,26
1437,80004
1438,12602
1439,3075
